sample position initial baked brand
1      6        9.98    26.45 clabber_girl
2      7        9.81    25.66 clabber_girl
3      8        9.61    28.39 clabber_girl
4      3        9.97    27.04 clabber_girl
5      1        8.86    25.46 clabber_girl
6      5        10.24   24.16 rumford
7      3        9.83    26.13 rumford
8      6        10.19   27.79 rumford
9      8        9.06    27.31 rumford
10     1        8.62    25.13 rumford
11     8        9.75    18.95 none
12     5        9.82    13.02 none
13     7        9.89    12.15 none
14     6        11.54   16.13 none
15     1        9.8     14.2  none
16     6        9.87    25.6  wegmans 
17     3        8.73    24.39 wegmans 
18     5        9.57    23.37 wegmans 
19     1        9.65    26.64 wegmans 
20     8        9.89    23.8  wegmans 
